subject,description,units,sem,year,curriculumId,programId
BIT111L,Introduction to Computing,3,1,FIRST,1,1
BIT112L,Fundamentals of Programming,3,1,FIRST,1,1
GEE-LITE,Living in the IT Era,3,1,FIRST,1,1
UTS,Understanding the Self,3,1,FIRST,1,1
PC,Purposive Communication,3,1,FIRST,1,1
PATHFit1,Movement Competency Training,3,1,FIRST,1,1
NSTP1k,National Service Training Program I,3,1,FIRST,1,1
SOCARTS1,The University & 21st Century Learning,3,1,FIRST,1,1
BIT121L,Discrete Structures,3,2,FIRST,1,1
BIT122L,Intermediate Programming,3,2,FIRST,1,1
BIT123L,Data Structures and Algorithms,3,2,FIRST,1,1
MMW,Mathematics in the Modern World,3,2,FIRST,1,1
RLW,Rizal's Life and Works,3,2,FIRST,1,1
PATHFit2,Exercise-based Fitness Activities,3,2,FIRST,1,1
NSTP2k,National Service Training Program II,3,2,FIRST,1,1
SOCARTS2,Special Topics,3,2,FIRST,1,1
BIT211L,Database Management (Info Mgt) 1,3,1,SECOND,1,1
BIT212L,Web Development 1,3,1,SECOND,1,1
BIT213L,Object-Oriented Programming,3,1,SECOND,1,1
BIT214L,Networking and Communications 1,3,1,SECOND,1,1
BIT215L,Social Issues and Professional Practice,3,1,SECOND,1,1
PATHFit3,Outdoor and Simulation Sports ( with life saving exercises),3,1,SECOND,1,1
BIT221L,Database Management (Info Mgt) 2,3,2,SECOND,1,1
BIT222L,Web Development 2,3,2,SECOND,1,1
BIT223L,"Presentation, Negotiation and Consulting Skills in IT",3,2,SECOND,1,1
BIT224L,Networking and Communications 2,3,2,SECOND,1,1
GEC-EM,The Entrepreneurial Mind,3,2,SECOND,1,1
PATHFit4,Dance,3,2,SECOND,1,1
RPH,Readings in the Philippine History,3,2,SECOND,1,1
BIT311L,Platform Technologies,3,1,THIRD,1,1
BIT312L,Integrative Programming and Technologies,3,1,THIRD,1,1
BIT313L,Human Computer Interaction,3,1,THIRD,1,1
BIT314L,Information Systems,3,1,THIRD,1,1
BIT315L,Quantitative Methods,3,1,THIRD,1,1
BIT316L,Fundamentals of IT Project Management,3,1,THIRD,1,1
MATH311L,Statistics,3,1,THIRD,1,1
BIT321L,System Integration and Architecture,3,2,THIRD,1,1
BIT322L,Applications Development and Emerging Technologies,3,2,THIRD,1,1
BIT323L,Information Assurance and Security 1,3,2,THIRD,1,1
BIT324L,Software Egineering,3,2,THIRD,1,1
BIT325L,Capstone Project 1,3,2,THIRD,1,1
ETH,Ethics,3,2,THIRD,1,1
BIT411L,Information Assurance and Security 2,3,1,FOURTH,1,1
BIT412L,Capstone Project 2,3,1,FOURTH,1,1
AA,Arts Appreciation,3,1,FOURTH,1,1
STS,"Science, Technology and Society with HIV Educ",3,1,FOURTH,1,1
TCW,The Contemporary World,3,1,FOURTH,1,1
GEC-GB,Great Books,3,1,FOURTH,1,1
BIT421L,Practicum (incl. CPSO),3,2,FOURTH,1,1
BIT-SPE1,Specialization 1,3,2,FOURTH,1,1
BIT-SPE2,Specialization 2,3,2,FOURTH,1,1
BIT-SPE3,Specialization 3,3,2,FOURTH,1,1
SVA,Application and Interview,3,2,FOURTH,1,1